Listing ID,Property Type,Street #,Street Name,City,Sale Type,Sale Price,Price Per SqFt,Bedrooms,Full Bath,Half Bath,Property Sqft,Age,Lot SqFt,DOM,View?,Pool?,Sale Date,MLS,Commission,Commission Level,Median Household Income
CV22080367,SFR/D,10549,Deer Canyon DR  ,Rancho Cucamonga,STD,1950000,446.84,4,3,1,4364,33,22000,13,Y,Y,44727,CRMLSM,0.02,Medium,97046
IV22176223,SFR/D,6863,Canyon Hill DR  ,Riverside,STD,1950000,295.99,6,6,1,6588,25,51401,2,Y,Y,44819,CRMLSM,0.02,Medium,76755
CV22082413,SFR/D,10827,Carriage DR  ,Rancho Cucamonga,STD,1950000,432.95,5,4,1,4504,24,23317,69,Y,Y,44837,CRMLSM,0.03,High,97046
OC22181244,SFR/D,45455,Via Vaquero   ,Temecula,STD,1950000,437.71,4,4,1,4455,18,204296,116,Y,N,44964,CRMLSM,0.025,Medium,103546
CV22154125,SFR/D,10858,Carriage DR  ,Rancho Cucamonga,STD,1930000,382.48,5,4,1,5046,16,21209,62,Y,Y,44875,CRMLSM,0.0325,High,97046
IV23033142,SFR/D,5662,Grata Vista CT  ,Rancho Cucamonga,STD,1930000,352.25,7,5,1,5479,16,27646,2,Y,Y,45037,CRMLSM,0.0175,Low,97046
TR22096682,SFR/D,16094,Mariposa AVE  ,Riverside,STD,1925000,378.64,5,4,0,5084,6,161608,14,Y,Y,44739,CRMLSM,0.02,Medium,76755
CV20225781,SFR/D,1190,Glendale RD  ,Upland,STD,1925000,431.42,5,4,1,4462,3,15540,260,Y,N,45035,CRMLSM,0.02,Medium,82259
CV22030222,SFR/D,9627,Beldon CT  ,Rancho Cucamonga,STD,1918000,367.79,5,4,1,5215,18,24000,7,Y,Y,44700,CRMLSM,0.025,Medium,97046
SW22013495,SFR/D,39977,Calle Bellagio   ,Temecula,STD,1900000,545.98,5,3,1,3480,3,106286,0,Y,N,44624,CRMLSM,0.02,Medium,103546
SW22038278,SFR/D,40995,Via Fernando   ,Temecula,STD,1900000,542.55,7,4,0,3502,35,111514,3,Y,Y,44658,CRMLSM,0.02,Medium,103546
OC22031193,SFR/D,9976,Santina ST  ,Rancho Cucamonga,STD,1900000,344.77,5,5,0,5511,36,435600,12,Y,Y,44683,CRMLSM,0.025,Medium,97046
PW22066050,SFR/D,30105,Cabrillo AVE  ,Temecula,STD,1900000,590.06,4,3,0,3220,49,146797,11,Y,Y,44694,CRMLSM,0.025,Medium,103546
IV22150038,SFR/D,5142,Lipizzan PL  ,Rancho Cucamonga,STD,1900000,377.28,4,4,1,5036,25,29200,25,Y,Y,44803,CRMLSM,0.02,Medium,97046
PTP2205957,SFR/D,33350,WOLFE ST   ,Temecula,STD,1900000,310.76,5,5,0,6114,16,218235,6,Y,N,44847,CRMLSP,0.02,Medium,103546
EV22222414,SFR/D,6568,Boulder AVE  ,Highland,STD,1900000,713.75,3,2,1,2662,35,106722,24,Y,N,45040,CRMLSM,0.025,Medium,69225
SW22130930,SFR/D,35455,Via Sol Vista   ,Temecula,STD,1899999,547.87,6,4,2,3468,43,109336,11,Y,Y,44769,CRMLSM,0.02,Medium,103546
IG23009574,SFR/D,1564,Twin Oaks CIR  ,Corona,STD,1895000,471.28,4,3,1,4021,20,28314,5,Y,Y,44971,CRMLSM,0.02,Medium,95268
CV22011841,SFR/D,2229 N,3rd AVE  ,Upland,STD,1890000,380.28,6,4,1,4970,25,20448,4,Y,Y,44617,CRMLSM,0.02,Medium,82259
SW23053792,SFR/D,44906,Frogs Leap Street   ,Temecula,STD,1890000,439.53,5,4,1,4300,18,21780,17,Y,Y,45040,CRMLSM,0.02,Medium,103546
CV23060571,SFR/D,12972,Via Tesoro DR  ,Rancho Cucamonga,STD,1889000,344.08,6,5,1,5490,16,15200,10,Y,Y,45038,CRMLSM,0.025,Medium,97046
IV21239467,SFR/D,15990,Constable RD  ,Riverside,STD,1888888,422.66,4,5,0,4469,19,437778,8,Y,N,44572,CRMLSM,0.02,Medium,76755
SW21208112,SFR/D,42405,Via Nortada   ,Temecula,STD,1875000,468.75,4,3,1,4000,34,192971,117,Y,Y,44629,CRMLSM,0.02,Medium,103546
CV22030617,SFR/D,13159,Norcia DR  ,Rancho Cucamonga,STD,1875000,374.78,5,5,1,5003,18,20085,32,Y,N,44714,CRMLSM,0.03,High,97046
SW22041169,SFR/D,45850,Tierra Rica RD  ,Temecula,STD,1875000,558.87,3,3,1,3355,23,842450,144,Y,N,44819,CRMLSM,0.025,Medium,103546
CV22165367,SFR/D,13104,Carnesi DR  ,Rancho Cucamonga,STD,1875000,421.82,5,5,0,4445,19,30106,12,Y,Y,44823,CRMLSM,0.02,Medium,97046
CV22209989,SFR/D,5849,Pinto PL  ,Rancho Cucamonga,STD,1875000,556.54,4,3,1,3369,5,30609,69,Y,Y,44944,CRMLSM,0.02,Medium,97046
SW23003981,SFR/D,41847,Knoll Vista LN  ,Temecula,STD,1875000,457.76,4,4,1,4096,4,101495,14,Y,N,44979,CRMLSM,0.025,Medium,103546
OC22133536,SFR/D,1876,Live Oak   ,Upland,STD,1862000,310.49,6,4,1,5997,33,14700,98,Y,Y,44859,CRMLSM,0.02,Medium,82259
SW21183971,SFR/D,44576,Frogs Leap ST  ,Temecula,STD,1858000,408.8,5,4,1,4545,18,26571,85,Y,Y,44572,CRMLSM,0.025,Medium,103546
CV20213389,SFR/D,10803,Laurel AVE  ,Bloomington,STD,1850000,1579.85,2,2,0,1171,68,126000,327,N,N,44582,CRMLSM,0.03,High,68628
IG22021209,SFR/D,3921 S,Main ST  ,Corona,STD,1850000,466.35,4,3,1,3967,22,40946,8,Y,Y,44677,CRMLSM,0.02,Medium,95268
CV22189468,SFR/D,780 W,25th ST  ,Upland,STD,1850000,343.04,4,3,2,5393,37,26400,78,Y,Y,44909,CRMLSM,0.03,High,82259
OC22132591,SFR/D,700 E,Chase DR  ,Corona,STD,1829000,357.51,5,3,0,5116,33,40075,13,Y,Y,44783,CRMLSM,0.0225,Medium,95268
SW22170109,SFR/D,40825,Via Champagne   ,Temecula,STD,1815000,377.57,5,3,1,4807,34,209524,41,Y,Y,44847,CRMLSM,0.03,High,103546
SW21139686,SFR/D,23610,De Anza RD  ,Temecula,STD,1800000,419.97,4,5,0,4286,41,427759,153,Y,N,44589,CRMLSM,0.02,Medium,103546
219073543DA,SFR/D,35025,Linda Rosea RD  ,Temecula,STD,1800000,531.44,4,2,0,3387,38,109336,12,Y,Y,44672,CDAR,0.025,Medium,103546
IV22089458,SFR/D,8754,Kendra LN  ,Eastvale,STD,1800000,402.68,5,4,1,4470,16,111949,6,Y,N,44755,CRMLSM,0.02,Medium,141827
IV22109316,SFR/D,33565,Pauba RD  ,Temecula,"STD,TRUS",1800000,446.98,4,4,1,4027,35,202990,47,Y,Y,44788,CRMLSM,0.02,Medium,103546
SW22102712,SFR/D,40005,Camino Del Vino   ,Temecula,STD,1800000,837.21,3,2,0,2150,21,234788,61,Y,Y,44795,CRMLSM,0.02,Medium,103546
EV22077034,SFR/D,4927,Cactus CT  ,Rancho Cucamonga,STD,1800000,348.3,6,4,0,5168,16,22800,101,Y,Y,44799,CRMLSM,0.02,Medium,97046
SW22084283,SFR/D,4980,Ambleside PL  ,Rancho Cucamonga,STD,1800000,421.25,5,4,2,4273,10,27227,81,Y,Y,44827,CRMLSM,0.02,Medium,97046
SW22224284,SFR/D,39000,Cumbre RD  ,Temecula,STD,1800000,533.65,3,2,1,3373,20,440827,35,Y,N,44900,CRMLSM,0.025,Medium,103546
22186639,SFR,24800,Ravensview CT  ,Temecula,STD,1800000,421.05,4,4,0,4275,33,181210,144,Y,N,44932,CLAW,0.025,Medium,103546
IV22216444,SFR/D,16430,Landon CT  ,Riverside,STD,1800000,316.57,6,5,0,5686,19,41382,52,Y,N,44949,CRMLSM,0.0225,Medium,76755
CV23032085,SFR/D,311 W,Buffington ST  ,Upland,STD,1800000,310.34,7,5,0,5800,47,21344,0,Y,Y,44981,CRMLSM,0.02,Medium,82259
CV23015135,SFR/D,4929,Clover PL  ,Rancho Cucamonga,STD,1800000,409.09,6,5,0,4400,19,25740,24,Y,N,45014,CRMLSM,0.02,Medium,97046
NP23007882,SFR/A,9664,Beldon CT  ,Rancho Cucamonga,STD,1800000,345.16,5,4,1,5215,18,20900,47,Y,Y,45041,CRMLSM,0.0225,Medium,97046
IV22187281,SFR/D,2612,Madison ST  ,Riverside,"STD,TRUS",1799900,391.62,4,5,1,4596,19,164657,20,Y,N,44903,CRMLSM,0.025,Medium,76755
22193811,SFR,6348,Laurel Blossom PL  ,Rancho Cucamonga,STD,1775000,300.39,7,6,1,5909,20,22688,6,Y,N,44826,CLAW,0.02,Medium,97046
OC22255022,SFR/D,37395,Eden Garden CT  ,Temecula,STD,1775000,451.54,5,3,0,3931,16,223027,47,Y,Y,44987,CRMLSM,0.0225,Medium,103546
